epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,131.462,2.0665,2.62838,2.18008,0,0,0,0,3.97882,4.39035,4.20648,0.00127854,0.00127854,0.00127854
48,134.11,2.02449,2.52668,2.14468,0,0,0,0,3.89384,4.38955,4.13798,0.00130491,0.00130491,0.00130491
49,136.725,2.03558,2.48405,2.13064,3e-05,0.00121,1e-05,0,3.88878,4.41587,4.13505,0.00133124,0.00133124,0.00133124
50,139.334,1.98569,2.46998,2.12797,0.00034,0.0299,0.00023,7e-05,3.85404,4.41119,4.09886,0.00135752,0.00135752,0.00135752
51,141.924,1.95275,2.42816,2.06552,7e-05,0.01124,4e-05,2e-05,3.86912,4.41827,4.12671,0.00137005,0.00137005,0.00137005
52,144.493,1.97469,2.38863,2.07714,8e-05,0.00971,4e-05,2e-05,3.8625,4.43056,4.13354,0.00136887,0.00136887,0.00136887
53,147.063,1.93823,2.33617,2.06009,0.0001,0.00971,5e-05,2e-05,3.83785,4.4276,4.09057,0.0013677,0.0013677,0.0013677
54,149.627,1.91913,2.31677,2.02487,0.00022,0.00954,0.00012,3e-05,3.85354,4.43616,4.10795,0.00136652,0.00136652,0.00136652
55,152.193,1.91803,2.3103,2.03207,8e-05,0.00154,4e-05,1e-05,3.80552,4.36922,4.06291,0.00136534,0.00136534,0.00136534
56,154.765,1.86534,2.24683,1.9762,0.00026,0.00428,0.00016,3e-05,3.8748,4.26365,3.96697,0.00136416,0.00136416,0.00136416
57,157.535,1.87587,2.22255,1.99251,0.0003,0.00307,0.00018,3e-05,3.72658,4.33391,3.962,0.00136298,0.00136298,0.00136298
58,160.111,1.85911,2.25013,1.99043,0.00152,0.01388,0.00137,0.00039,3.74245,4.43061,3.97799,0.0013618,0.0013618,0.0013618
59,162.716,1.86926,2.2203,1.96797,0.00224,0.02656,0.00318,0.00085,3.65621,4.47342,3.90969,0.00136062,0.00136062,0.00136062
60,165.409,1.82173,2.15714,1.91436,0.00378,0.05981,0.00406,0.00155,3.41742,4.52183,3.71266,0.00135944,0.00135944,0.00135944
61,167.988,1.81356,2.13778,1.91999,0.00423,0.11824,0.00468,0.00186,3.09533,4.45015,3.45777,0.00135826,0.00135826,0.00135826
62,170.57,1.8048,2.1136,1.90394,0.00541,0.13581,0.00766,0.00247,3.035,4.38434,3.35731,0.00135709,0.00135709,0.00135709
63,173.142,1.79032,2.10601,1.89789,0.02536,0.07079,0.01301,0.004,2.92959,4.3159,3.25381,0.00135591,0.00135591,0.00135591
64,175.715,1.81095,2.11789,1.91021,0.01731,0.0344,0.00711,0.00233,3.0151,4.354,3.30396,0.00135473,0.00135473,0.00135473
65,178.293,1.77974,2.0859,1.87436,0.02342,0.02601,0.01215,0.00428,2.70392,4.13027,2.98553,0.00135355,0.00135355,0.00135355
66,180.865,1.76864,2.06763,1.87131,0.00773,0.23331,0.00928,0.00288,2.77625,4.28299,3.10411,0.00135237,0.00135237,0.00135237
67,183.478,1.77061,2.04663,1.8552,0.04548,0.0677,0.01361,0.00522,2.51434,4.10507,2.79302,0.00135119,0.00135119,0.00135119
68,186.08,1.7642,2.00922,1.8455,0.04261,0.08246,0.01601,0.00626,2.46557,4.10451,2.73602,0.00135001,0.00135001,0.00135001
69,188.727,1.76042,2.01157,1.86048,0.04968,0.10084,0.02579,0.00938,2.38601,3.8616,2.62783,0.00134883,0.00134883,0.00134883
70,191.319,1.71448,1.97679,1.82209,0.07688,0.10231,0.03394,0.01249,2.42287,3.73791,2.64035,0.00134765,0.00134765,0.00134765
71,193.91,1.73604,1.96404,1.81524,0.06336,0.12531,0.04196,0.01494,2.24044,3.74604,2.50975,0.00134648,0.00134648,0.00134648
72,196.5,1.70273,1.9283,1.80204,0.07267,0.12108,0.04272,0.01704,2.32085,3.7996,2.52433,0.0013453,0.0013453,0.0013453
73,199.113,1.67135,1.90459,1.77279,0.16093,0.19928,0.08758,0.03653,2.1798,3.43921,2.35825,0.00134412,0.00134412,0.00134412
74,201.699,1.6961,1.89565,1.77331,0.25387,0.3055,0.18455,0.08465,1.92138,2.79253,2.10643,0.00134294,0.00134294,0.00134294
75,204.275,1.67268,1.86487,1.76058,0.17109,0.20339,0.10418,0.04581,1.96639,3.1421,2.18215,0.00134176,0.00134176,0.00134176
76,206.849,1.66631,1.85883,1.75502,0.27468,0.33158,0.21091,0.09598,1.84737,2.56721,2.04882,0.00134058,0.00134058,0.00134058
77,209.434,1.66083,1.83407,1.75068,0.24918,0.29242,0.18997,0.08647,1.94758,2.72465,2.08705,0.0013394,0.0013394,0.0013394
78,212.019,1.67827,1.86009,1.7536,0.23131,0.31818,0.18049,0.08414,1.88484,2.67378,2.06141,0.00133822,0.00133822,0.00133822
79,214.632,1.64925,1.81901,1.73308,0.21721,0.35763,0.18423,0.08342,1.8932,2.74188,2.04896,0.00133704,0.00133704,0.00133704
80,217.46,1.64357,1.8183,1.72613,0.27988,0.36139,0.23195,0.10716,1.81308,2.43363,1.97454,0.00133586,0.00133586,0.00133586
81,220.048,1.62381,1.80865,1.74083,0.28332,0.41349,0.24715,0.11801,1.78285,2.36551,1.96345,0.00133469,0.00133469,0.00133469
82,222.639,1.62918,1.77794,1.72111,0.36645,0.41467,0.32281,0.16281,1.7022,2.0984,1.86621,0.00133351,0.00133351,0.00133351
83,225.413,1.6202,1.7738,1.71782,0.2932,0.36929,0.23651,0.11781,1.77824,2.40189,1.93368,0.00133233,0.00133233,0.00133233
84,228.065,1.60657,1.7306,1.69305,0.40486,0.54062,0.4222,0.22588,1.59412,1.78715,1.72198,0.00133115,0.00133115,0.00133115
85,230.656,1.60186,1.74414,1.68266,0.35075,0.32532,0.23187,0.11027,1.82312,2.43626,1.93193,0.00132997,0.00132997,0.00132997
86,233.228,1.59038,1.73846,1.68262,0.37182,0.41093,0.28524,0.14423,1.76769,2.189,1.8777,0.00132879,0.00132879,0.00132879
87,235.821,1.60198,1.72443,1.69295,0.38046,0.56579,0.35296,0.18549,1.67926,1.99851,1.78111,0.00132761,0.00132761,0.00132761
88,238.406,1.56626,1.69514,1.65945,0.39005,0.53923,0.37188,0.20051,1.63236,1.92398,1.76288,0.00132643,0.00132643,0.00132643
89,241.026,1.55984,1.67717,1.65434,0.40837,0.51512,0.41415,0.2175,1.63665,1.79637,1.74766,0.00132525,0.00132525,0.00132525
90,243.635,1.57443,1.70058,1.67625,0.36806,0.51087,0.37116,0.19238,1.64753,1.86445,1.7426,0.00132408,0.00132408,0.00132408
91,246.222,1.57952,1.71733,1.66402,0.38492,0.46414,0.31633,0.16345,1.72635,2.09071,1.84168,0.0013229,0.0013229,0.0013229
92,248.812,1.56444,1.66293,1.65289,0.40828,0.53307,0.41319,0.22494,1.62883,1.80928,1.72145,0.00132172,0.00132172,0.00132172
93,251.408,1.51319,1.64488,1.62048,0.40801,0.58233,0.44299,0.23823,1.61367,1.76242,1.73221,0.00132054,0.00132054,0.00132054
94,254.003,1.5344,1.63508,1.65056,0.43156,0.58072,0.46119,0.25757,1.57293,1.71115,1.68553,0.00131936,0.00131936,0.00131936
95,256.59,1.52675,1.62094,1.61721,0.46766,0.62412,0.50919,0.27899,1.55302,1.58598,1.67192,0.00131818,0.00131818,0.00131818
96,259.193,1.55514,1.62361,1.642,0.45272,0.63164,0.52023,0.29288,1.5506,1.54297,1.66129,0.001317,0.001317,0.001317
97,261.774,1.52883,1.62122,1.61645,0.42056,0.58242,0.47621,0.26168,1.57414,1.6707,1.6671,0.00131582,0.00131582,0.00131582
98,264.352,1.50634,1.59339,1.61943,0.38082,0.62556,0.45838,0.25468,1.54505,1.68161,1.65969,0.00131464,0.00131464,0.00131464
99,266.967,1.50454,1.59825,1.60329,0.45322,0.60265,0.50018,0.28495,1.54003,1.62127,1.65161,0.00131347,0.00131347,0.00131347
100,269.581,1.52013,1.58102,1.60014,0.5064,0.64331,0.54594,0.31951,1.49805,1.50852,1.60949,0.00131229,0.00131229,0.00131229
101,272.178,1.49344,1.55163,1.58367,0.48042,0.62402,0.53959,0.29218,1.52207,1.52473,1.65868,0.00131111,0.00131111,0.00131111
102,274.763,1.50829,1.54846,1.60334,0.4098,0.56279,0.41982,0.22365,1.64279,1.78942,1.73603,0.00130993,0.00130993,0.00130993
103,277.503,1.54042,1.59679,1.6128,0.46197,0.61777,0.53964,0.30627,1.50747,1.51847,1.62034,0.00130875,0.00130875,0.00130875
104,280.088,1.53332,1.6104,1.62389,0.44858,0.59427,0.49213,0.26836,1.57403,1.68545,1.66355,0.00130757,0.00130757,0.00130757
105,282.671,1.50237,1.56342,1.58672,0.47197,0.63845,0.52739,0.30476,1.51195,1.52985,1.62625,0.00130639,0.00130639,0.00130639
106,285.322,1.49198,1.53894,1.60124,0.43564,0.5562,0.4441,0.24379,1.58963,1.7837,1.69978,0.00130521,0.00130521,0.00130521
107,287.907,1.4837,1.53301,1.57773,0.49475,0.56947,0.53135,0.30024,1.50926,1.53499,1.62974,0.00130403,0.00130403,0.00130403
108,290.487,1.47821,1.5318,1.57344,0.45619,0.60278,0.52882,0.30114,1.52467,1.59075,1.62994,0.00130286,0.00130286,0.00130286
109,293.06,1.48104,1.49761,1.56944,0.51765,0.56576,0.51706,0.28733,1.58967,1.71917,1.68736,0.00130168,0.00130168,0.00130168
110,295.643,1.47071,1.5066,1.57847,0.48685,0.65,0.54235,0.31162,1.52579,1.61423,1.63258,0.0013005,0.0013005,0.0013005
111,298.227,1.46731,1.51296,1.57086,0.57074,0.6181,0.59228,0.33441,1.49842,1.50506,1.60413,0.00129932,0.00129932,0.00129932
112,300.808,1.44395,1.46654,1.54871,0.50825,0.61277,0.5528,0.31038,1.50788,1.5488,1.62391,0.00129814,0.00129814,0.00129814
113,303.395,1.45527,1.47542,1.56014,0.47068,0.56678,0.5165,0.28605,1.53138,1.63288,1.63389,0.00129696,0.00129696,0.00129696
114,305.974,1.48021,1.48043,1.56871,0.52354,0.66052,0.62307,0.35288,1.47442,1.40886,1.58667,0.00129578,0.00129578,0.00129578
115,308.579,1.48869,1.4942,1.57986,0.48863,0.62614,0.55025,0.30919,1.50875,1.56282,1.62058,0.0012946,0.0012946,0.0012946
116,311.168,1.50958,1.47964,1.57792,0.55053,0.64974,0.5977,0.33907,1.48527,1.42491,1.59376,0.00129342,0.00129342,0.00129342
117,313.75,1.48965,1.46895,1.55766,0.54067,0.65366,0.59525,0.32749,1.49423,1.395,1.62409,0.00129224,0.00129224,0.00129224
118,316.344,1.4279,1.45518,1.54508,0.57232,0.61611,0.57907,0.32876,1.51723,1.4772,1.6207,0.00129107,0.00129107,0.00129107
119,318.926,1.42794,1.43937,1.53026,0.53048,0.66309,0.58169,0.33691,1.46227,1.47487,1.55925,0.00128989,0.00128989,0.00128989
120,321.52,1.45165,1.46097,1.53942,0.58162,0.56774,0.60882,0.33976,1.5121,1.43005,1.61718,0.00128871,0.00128871,0.00128871
121,324.135,1.43993,1.42843,1.55025,0.52107,0.58173,0.56626,0.32885,1.5028,1.51355,1.59842,0.00128753,0.00128753,0.00128753
122,326.731,1.41992,1.40904,1.51906,0.50825,0.62104,0.54573,0.31068,1.50417,1.53023,1.61519,0.00128635,0.00128635,0.00128635
123,329.303,1.43328,1.40764,1.51903,0.65658,0.59056,0.6107,0.36595,1.42749,1.3842,1.53653,0.00128517,0.00128517,0.00128517
124,331.901,1.44387,1.42381,1.52618,0.521,0.57175,0.53179,0.29028,1.53147,1.56167,1.61752,0.00128399,0.00128399,0.00128399
125,334.49,1.42608,1.40311,1.52527,0.5376,0.55743,0.52963,0.30499,1.52229,1.47003,1.60359,0.00128281,0.00128281,0.00128281
126,337.165,1.41722,1.41312,1.51228,0.58954,0.61124,0.61112,0.35735,1.48567,1.37632,1.59033,0.00128163,0.00128163,0.00128163
127,339.771,1.41381,1.4047,1.52189,0.58986,0.66028,0.65149,0.38564,1.42109,1.32554,1.53634,0.00128046,0.00128046,0.00128046
128,342.358,1.46692,1.42253,1.54788,0.59091,0.61326,0.63156,0.36883,1.45684,1.3623,1.57475,0.00127928,0.00127928,0.00127928
129,345.02,1.41508,1.38788,1.52379,0.4911,0.61829,0.52543,0.29779,1.55633,1.54383,1.62424,0.0012781,0.0012781,0.0012781
130,347.611,1.43022,1.40192,1.50997,0.63412,0.58273,0.63458,0.36545,1.4692,1.32953,1.59169,0.00127692,0.00127692,0.00127692
131,350.207,1.41378,1.37397,1.51741,0.55489,0.66397,0.59298,0.34925,1.45655,1.3589,1.5603,0.00127574,0.00127574,0.00127574
132,352.788,1.37952,1.37865,1.49147,0.5376,0.604,0.57103,0.32659,1.44733,1.44999,1.55851,0.00127456,0.00127456,0.00127456
133,355.411,1.40785,1.39876,1.5078,0.56994,0.63963,0.65084,0.38797,1.43232,1.29583,1.525,0.00127338,0.00127338,0.00127338
134,357.996,1.40935,1.36658,1.49979,0.60337,0.65215,0.64583,0.37611,1.42295,1.26203,1.52848,0.0012722,0.0012722,0.0012722
135,360.587,1.398,1.36259,1.49046,0.60596,0.68673,0.66409,0.38532,1.44219,1.26727,1.56219,0.00127102,0.00127102,0.00127102
136,363.174,1.40844,1.32286,1.50563,0.6573,0.6336,0.67766,0.41134,1.35995,1.22419,1.48454,0.00126985,0.00126985,0.00126985
137,365.765,1.38636,1.33421,1.48696,0.64068,0.59148,0.65421,0.35957,1.48777,1.3178,1.59198,0.00126867,0.00126867,0.00126867
138,368.346,1.4264,1.35081,1.51142,0.63126,0.65648,0.67794,0.40224,1.42461,1.24324,1.51625,0.00126749,0.00126749,0.00126749
139,370.938,1.41296,1.35676,1.51116,0.59253,0.60724,0.63019,0.3647,1.49462,1.38622,1.5989,0.00126631,0.00126631,0.00126631
140,373.514,1.35125,1.32474,1.47315,0.56394,0.66623,0.6608,0.40094,1.41068,1.27887,1.51472,0.00126513,0.00126513,0.00126513
141,376.142,1.36264,1.33255,1.4793,0.56159,0.69311,0.65407,0.38748,1.44123,1.29765,1.53426,0.00126395,0.00126395,0.00126395
142,378.741,1.35244,1.28188,1.45583,0.67328,0.66193,0.68118,0.40679,1.41736,1.25989,1.525,0.00126277,0.00126277,0.00126277
143,381.327,1.36773,1.29374,1.46431,0.64757,0.67786,0.68225,0.41304,1.3787,1.22607,1.47987,0.00126159,0.00126159,0.00126159
144,384.058,1.36934,1.28757,1.47851,0.53712,0.58978,0.5532,0.30556,1.59847,1.54142,1.69146,0.00126041,0.00126041,0.00126041
145,386.64,1.35886,1.2807,1.48096,0.59852,0.65086,0.64953,0.39006,1.42364,1.32139,1.50325,0.00125923,0.00125923,0.00125923
146,389.215,1.36775,1.2892,1.46758,0.61114,0.64581,0.65568,0.38716,1.43583,1.25965,1.53789,0.00125806,0.00125806,0.00125806
147,391.8,1.34363,1.24485,1.45137,0.6258,0.69036,0.69079,0.40995,1.41183,1.2775,1.51227,0.00125688,0.00125688,0.00125688
148,394.374,1.32095,1.24213,1.4344,0.63793,0.64425,0.69954,0.40884,1.43588,1.26936,1.54276,0.0012557,0.0012557,0.0012557
149,396.99,1.3244,1.23755,1.46092,0.60498,0.69635,0.67299,0.40591,1.40988,1.29293,1.50608,0.00125452,0.00125452,0.00125452
150,399.638,1.35016,1.24487,1.44364,0.57397,0.60389,0.61386,0.33992,1.56003,1.39718,1.64266,0.00125334,0.00125334,0.00125334
151,402.218,1.36137,1.25285,1.46758,0.62606,0.66938,0.6883,0.41436,1.39704,1.29457,1.50974,0.00125216,0.00125216,0.00125216
152,404.806,1.35881,1.27875,1.45276,0.63897,0.65367,0.68865,0.38995,1.49413,1.2736,1.58564,0.00125098,0.00125098,0.00125098
153,407.404,1.34828,1.25439,1.45516,0.6987,0.67366,0.71514,0.43493,1.37865,1.17209,1.47911,0.0012498,0.0012498,0.0012498
154,409.987,1.35547,1.25188,1.44871,0.66826,0.606,0.64589,0.37438,1.48955,1.29103,1.60521,0.00124862,0.00124862,0.00124862
155,412.576,1.37376,1.24411,1.48055,0.63243,0.59192,0.59617,0.34789,1.49339,1.43475,1.57024,0.00124745,0.00124745,0.00124745
156,415.163,1.34943,1.24833,1.45591,0.69719,0.65437,0.7049,0.42635,1.37925,1.17983,1.48913,0.00124627,0.00124627,0.00124627
157,417.743,1.32081,1.22098,1.43953,0.61396,0.68241,0.66107,0.37877,1.47066,1.31872,1.58166,0.00124509,0.00124509,0.00124509
158,420.342,1.32293,1.23023,1.43363,0.62292,0.69213,0.6806,0.40003,1.41746,1.21686,1.53418,0.00124391,0.00124391,0.00124391
159,422.931,1.32389,1.23198,1.45206,0.60756,0.69125,0.69013,0.41159,1.37352,1.2154,1.50339,0.00124273,0.00124273,0.00124273
160,425.509,1.32476,1.21388,1.43423,0.64131,0.64207,0.66352,0.37715,1.4835,1.28685,1.59682,0.00124155,0.00124155,0.00124155
161,428.109,1.32314,1.22132,1.43679,0.71586,0.7109,0.77509,0.47972,1.32425,1.05323,1.43755,0.00124037,0.00124037,0.00124037
162,430.725,1.33474,1.22448,1.42962,0.68069,0.64493,0.70166,0.41222,1.45832,1.24824,1.55658,0.00123919,0.00123919,0.00123919
163,433.323,1.33618,1.19997,1.45385,0.66441,0.676,0.71802,0.43871,1.39016,1.17682,1.46843,0.00123801,0.00123801,0.00123801
164,435.908,1.31785,1.20462,1.43274,0.72181,0.68637,0.7394,0.44199,1.3896,1.14128,1.50833,0.00123684,0.00123684,0.00123684
165,438.492,1.30714,1.1913,1.42543,0.67001,0.72949,0.7477,0.44897,1.35492,1.12026,1.48004,0.00123566,0.00123566,0.00123566
166,441.078,1.31977,1.19379,1.4217,0.70693,0.72545,0.75044,0.4572,1.33548,1.10314,1.46848,0.00123448,0.00123448,0.00123448
167,443.671,1.29975,1.17984,1.41642,0.70824,0.68606,0.75752,0.46069,1.34712,1.16466,1.48122,0.0012333,0.0012333,0.0012333
168,446.244,1.31978,1.18522,1.41952,0.69745,0.66968,0.71276,0.42878,1.38222,1.22023,1.48832,0.00123212,0.00123212,0.00123212
169,448.818,1.29471,1.16737,1.41234,0.59877,0.71108,0.70587,0.42863,1.37499,1.21135,1.50062,0.00123094,0.00123094,0.00123094
170,451.398,1.29885,1.18283,1.41343,0.72748,0.71189,0.76287,0.456,1.38524,1.12143,1.5077,0.00122976,0.00122976,0.00122976
171,453.973,1.26952,1.14589,1.40239,0.68625,0.69833,0.75272,0.44321,1.39263,1.14102,1.5061,0.00122858,0.00122858,0.00122858
172,456.562,1.27056,1.14839,1.39864,0.69856,0.72656,0.75461,0.47147,1.34496,1.08081,1.46493,0.0012274,0.0012274,0.0012274
173,459.169,1.25894,1.11855,1.38092,0.7042,0.73672,0.76636,0.47016,1.31893,1.08212,1.45693,0.00122622,0.00122622,0.00122622
174,461.731,1.27425,1.12684,1.40414,0.65957,0.60301,0.64271,0.37893,1.49312,1.38719,1.58044,0.00122505,0.00122505,0.00122505
175,464.306,1.27969,1.14815,1.39187,0.70618,0.69546,0.73911,0.44234,1.38768,1.18362,1.4868,0.00122387,0.00122387,0.00122387
176,466.906,1.26427,1.13231,1.40092,0.6611,0.71735,0.7386,0.44841,1.36934,1.12153,1.48881,0.00122269,0.00122269,0.00122269
177,469.473,1.29003,1.1525,1.41089,0.72612,0.73973,0.7752,0.47644,1.31031,1.0596,1.43974,0.00122151,0.00122151,0.00122151
178,472.052,1.27463,1.15412,1.40122,0.71953,0.72544,0.76958,0.45616,1.37408,1.06998,1.49797,0.00122033,0.00122033,0.00122033
179,474.626,1.2762,1.12644,1.38657,0.63906,0.63029,0.65621,0.38887,1.41059,1.24556,1.52232,0.00121915,0.00121915,0.00121915
180,477.202,1.26526,1.10869,1.38607,0.64574,0.69768,0.75353,0.45842,1.33358,1.16342,1.46938,0.00121797,0.00121797,0.00121797
181,479.789,1.28081,1.13421,1.40075,0.7384,0.73856,0.78927,0.49878,1.30454,1.04185,1.42075,0.00121679,0.00121679,0.00121679
182,482.378,1.26681,1.09688,1.38511,0.7234,0.68847,0.76055,0.45848,1.34794,1.08373,1.46001,0.00121561,0.00121561,0.00121561
183,484.993,1.29487,1.14084,1.41005,0.72266,0.73681,0.77559,0.48107,1.31733,1.04043,1.42245,0.00121444,0.00121444,0.00121444
184,487.581,1.2629,1.10496,1.39132,0.74571,0.69706,0.78231,0.46368,1.40124,1.085,1.49649,0.00121326,0.00121326,0.00121326
185,490.152,1.27682,1.09451,1.38084,0.72038,0.71716,0.77478,0.47337,1.33526,1.08829,1.44911,0.00121208,0.00121208,0.00121208
186,492.719,1.27997,1.11086,1.40035,0.73685,0.72436,0.78194,0.48516,1.31158,1.03052,1.4627,0.0012109,0.0012109,0.0012109
187,495.3,1.26068,1.10165,1.38664,0.77609,0.73698,0.80856,0.50712,1.31443,0.97036,1.43257,0.00120972,0.00120972,0.00120972
188,497.872,1.24774,1.07154,1.37211,0.73385,0.67799,0.76945,0.47154,1.33356,1.07535,1.43898,0.00120854,0.00120854,0.00120854
189,500.445,1.25389,1.07775,1.37928,0.66385,0.75891,0.75594,0.47018,1.32588,1.04107,1.44045,0.00120736,0.00120736,0.00120736
190,503.026,1.24721,1.08556,1.36791,0.69805,0.69219,0.74317,0.46017,1.3255,1.10452,1.4384,0.00120618,0.00120618,0.00120618
191,505.603,1.22421,1.06866,1.35156,0.78817,0.71463,0.79059,0.50037,1.30527,1.01001,1.41588,0.001205,0.001205,0.001205
