epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,94.5151,1.97138,2.31078,1.99669,0.05277,0.21862,0.04168,0.0159,2.3012,3.74784,2.56227,0.00135119,0.00135119,0.00135119
46,96.4299,1.97584,2.30329,1.9888,0.11255,0.05586,0.0596,0.02434,2.11597,3.49837,2.34699,0.00134942,0.00134942,0.00134942
47,98.3477,1.92475,2.24512,1.96099,0.21236,0.16349,0.11845,0.0503,1.97006,2.95772,2.13447,0.00134765,0.00134765,0.00134765
48,100.272,1.92073,2.24049,1.92225,0.1426,0.16371,0.09682,0.03954,2.03008,2.95957,2.18468,0.00134589,0.00134589,0.00134589
49,102.201,1.87253,2.19435,1.90621,0.21245,0.22389,0.13579,0.05901,1.96912,2.7561,2.11236,0.00134412,0.00134412,0.00134412
50,104.299,1.85951,2.14412,1.89695,0.18864,0.18097,0.12636,0.05463,1.95688,2.87851,2.11278,0.00134235,0.00134235,0.00134235
51,106.225,1.84355,2.09815,1.87409,0.23755,0.25714,0.1641,0.07442,1.85359,2.66723,2.0079,0.00134058,0.00134058,0.00134058
52,108.159,1.82225,2.09399,1.84301,0.24647,0.26636,0.18033,0.07836,1.86151,2.54624,2.01924,0.00133881,0.00133881,0.00133881
53,110.108,1.82965,2.08763,1.85155,0.27198,0.32951,0.21401,0.09917,1.81389,2.36749,1.92648,0.00133704,0.00133704,0.00133704
54,112.033,1.8533,2.09379,1.86379,0.25614,0.33961,0.21732,0.10341,1.80517,2.33503,1.93514,0.00133528,0.00133528,0.00133528
55,113.968,1.81993,2.04733,1.83533,0.25715,0.18575,0.15332,0.06938,1.89758,2.77848,2.00545,0.00133351,0.00133351,0.00133351
56,116.062,1.8247,2.02942,1.83041,0.31847,0.32655,0.25346,0.12542,1.75062,2.18463,1.86293,0.00133174,0.00133174,0.00133174
57,118.002,1.81068,2.01775,1.82898,0.25448,0.33736,0.23624,0.1094,1.78316,2.21796,1.88118,0.00132997,0.00132997,0.00132997
58,119.931,1.77597,1.99679,1.79486,0.38034,0.45422,0.36256,0.18627,1.67452,1.9082,1.77448,0.0013282,0.0013282,0.0013282
59,121.86,1.75794,1.95525,1.77515,0.34572,0.3995,0.32661,0.16223,1.71158,1.98128,1.81866,0.00132643,0.00132643,0.00132643
60,123.946,1.80652,2.02067,1.82039,0.3745,0.44291,0.35327,0.18223,1.68384,1.98908,1.79284,0.00132467,0.00132467,0.00132467
61,125.877,1.76016,1.99083,1.77832,0.3852,0.44534,0.32757,0.16613,1.69648,1.98588,1.80496,0.0013229,0.0013229,0.0013229
62,127.812,1.77007,1.96478,1.78483,0.43851,0.46673,0.39583,0.21322,1.68427,1.8593,1.7699,0.00132113,0.00132113,0.00132113
63,129.761,1.76137,1.91903,1.78009,0.451,0.51744,0.4456,0.23668,1.62459,1.75312,1.73918,0.00131936,0.00131936,0.00131936
64,131.705,1.76563,1.95212,1.77392,0.41736,0.50962,0.41981,0.22875,1.60185,1.77877,1.70325,0.00131759,0.00131759,0.00131759
65,133.864,1.70946,1.89464,1.70833,0.48632,0.45873,0.46623,0.24857,1.59733,1.71211,1.71545,0.00131582,0.00131582,0.00131582
66,135.817,1.70047,1.9181,1.73392,0.51039,0.56176,0.503,0.27957,1.56524,1.63742,1.69805,0.00131405,0.00131405,0.00131405
67,137.774,1.73939,1.92213,1.74383,0.45739,0.52102,0.45622,0.24437,1.58464,1.70536,1.70524,0.00131229,0.00131229,0.00131229
68,139.711,1.71705,1.90081,1.74461,0.30121,0.49899,0.32575,0.17281,1.6224,1.91735,1.73922,0.00131052,0.00131052,0.00131052
69,141.637,1.71272,1.8821,1.73251,0.38868,0.4439,0.38165,0.20476,1.63079,1.88562,1.73472,0.00130875,0.00130875,0.00130875
70,143.72,1.69854,1.87394,1.72959,0.47387,0.50945,0.4501,0.24593,1.60697,1.71438,1.71759,0.00130698,0.00130698,0.00130698
71,145.639,1.70493,1.83878,1.73652,0.5038,0.56573,0.49493,0.26319,1.60017,1.63427,1.71385,0.00130521,0.00130521,0.00130521
72,147.564,1.71146,1.84817,1.73427,0.45304,0.47753,0.44009,0.24281,1.60517,1.71677,1.68953,0.00130344,0.00130344,0.00130344
73,149.499,1.73435,1.8474,1.71325,0.51016,0.48087,0.46588,0.25547,1.63875,1.68405,1.72249,0.00130168,0.00130168,0.00130168
74,151.437,1.7283,1.83785,1.74064,0.36419,0.48214,0.35128,0.16543,1.73674,1.94825,1.7895,0.00129991,0.00129991,0.00129991
75,153.535,1.71868,1.84517,1.72122,0.44884,0.46868,0.40449,0.21813,1.65704,1.8023,1.7183,0.00129814,0.00129814,0.00129814
76,155.467,1.68207,1.87537,1.71004,0.44596,0.53972,0.45889,0.24857,1.5798,1.70068,1.68093,0.00129637,0.00129637,0.00129637
77,157.4,1.6733,1.81716,1.68822,0.50371,0.52226,0.50024,0.27499,1.56789,1.62888,1.67086,0.0012946,0.0012946,0.0012946
78,159.323,1.63898,1.77375,1.65189,0.47888,0.55554,0.48978,0.28536,1.53664,1.61793,1.62936,0.00129283,0.00129283,0.00129283
79,161.259,1.65166,1.79455,1.68437,0.49007,0.57476,0.50056,0.28195,1.5276,1.58896,1.62993,0.00129107,0.00129107,0.00129107
80,163.353,1.65737,1.73948,1.67562,0.51071,0.59259,0.5193,0.28657,1.55051,1.55117,1.63028,0.0012893,0.0012893,0.0012893
81,165.277,1.65678,1.73157,1.67621,0.54049,0.59001,0.54437,0.3095,1.52855,1.50737,1.6389,0.00128753,0.00128753,0.00128753
82,167.205,1.65876,1.76223,1.66937,0.51155,0.57062,0.52041,0.29522,1.5146,1.55003,1.61374,0.00128576,0.00128576,0.00128576
83,169.131,1.67236,1.76879,1.69079,0.54308,0.56726,0.54425,0.30813,1.5249,1.57072,1.60883,0.00128399,0.00128399,0.00128399
84,171.084,1.64841,1.73582,1.66666,0.55417,0.52059,0.5143,0.29824,1.55244,1.58722,1.6237,0.00128222,0.00128222,0.00128222
85,173.223,1.61852,1.70304,1.65019,0.56327,0.56016,0.54003,0.30345,1.49377,1.52634,1.60105,0.00128046,0.00128046,0.00128046
86,175.138,1.60445,1.70708,1.6289,0.50896,0.47726,0.46236,0.26013,1.5757,1.79591,1.66231,0.00127869,0.00127869,0.00127869
87,177.074,1.63957,1.72227,1.65517,0.54349,0.58437,0.56334,0.32546,1.49217,1.46381,1.60705,0.00127692,0.00127692,0.00127692
88,178.999,1.60755,1.70233,1.63244,0.5171,0.57262,0.55671,0.31484,1.5242,1.52044,1.60121,0.00127515,0.00127515,0.00127515
89,180.914,1.6185,1.71068,1.62098,0.52561,0.586,0.57374,0.33541,1.48175,1.46766,1.58317,0.00127338,0.00127338,0.00127338
90,182.925,1.60594,1.67043,1.62425,0.49425,0.57347,0.50462,0.28576,1.55842,1.61088,1.65153,0.00127161,0.00127161,0.00127161
91,184.859,1.62688,1.69599,1.62969,0.49977,0.5828,0.53196,0.30798,1.4913,1.58406,1.59322,0.00126985,0.00126985,0.00126985
92,186.8,1.62136,1.69612,1.6372,0.52679,0.6011,0.55487,0.31535,1.5111,1.53839,1.62187,0.00126808,0.00126808,0.00126808
93,188.732,1.60291,1.65897,1.62859,0.53426,0.58154,0.56805,0.33061,1.51349,1.49977,1.61746,0.00126631,0.00126631,0.00126631
94,190.647,1.58245,1.63169,1.6109,0.5845,0.56064,0.57025,0.32953,1.51233,1.4771,1.59008,0.00126454,0.00126454,0.00126454
95,192.728,1.59114,1.62958,1.60049,0.55209,0.57882,0.55311,0.31807,1.49526,1.49945,1.59609,0.00126277,0.00126277,0.00126277
96,194.649,1.54495,1.59876,1.57271,0.56579,0.61416,0.57464,0.33959,1.44005,1.43277,1.53583,0.001261,0.001261,0.001261
97,196.571,1.56866,1.62434,1.58725,0.54667,0.61337,0.58156,0.33402,1.49082,1.49195,1.59567,0.00125923,0.00125923,0.00125923
