epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.2076,0.99848,1.06292,1.14199,0.91943,0.88465,0.92306,0.68264,0.91084,0.58744,1.11054,1.429e-05,1.429e-05,1.429e-05
2,10.7747,1.00589,1.13806,1.16245,0.95936,0.84953,0.92346,0.68388,0.90965,0.58705,1.10981,4.28346e-05,4.28346e-05,4.28346e-05
3,13.258,1.00197,1.0752,1.15567,0.95921,0.84988,0.92361,0.68543,0.90953,0.58606,1.1092,7.13321e-05,7.13321e-05,7.13321e-05
4,15.7466,1.02617,1.14252,1.18091,0.95943,0.85113,0.92364,0.68679,0.90859,0.58604,1.10836,9.97824e-05,9.97824e-05,9.97824e-05
5,18.2932,0.97308,1.0716,1.14611,0.93044,0.84816,0.91666,0.65308,0.9925,0.63065,1.16212,0.000128186,0.000128186,0.000128186
6,20.8585,0.95442,0.94537,1.13174,0.80833,0.75354,0.83186,0.56536,1.10124,0.83616,1.25285,0.000156542,0.000156542,0.000156542
7,23.4163,0.9671,0.85396,1.12977,0.71928,0.76018,0.77012,0.52772,1.05705,1.0924,1.22402,0.00018485,0.00018485,0.00018485
8,25.9791,0.95939,0.79915,1.13108,0.73272,0.78053,0.78727,0.55456,1.0018,1.10544,1.18873,0.000213112,0.000213112,0.000213112
9,28.5306,0.97859,0.7877,1.13963,0.76013,0.78603,0.80661,0.57269,0.99301,1.0226,1.17498,0.000241327,0.000241327,0.000241327
10,31.083,0.949,0.7748,1.12825,0.7666,0.75439,0.8025,0.57063,1.01537,1.00701,1.16673,0.000269494,0.000269494,0.000269494
11,33.6586,0.94316,0.74664,1.11476,0.73259,0.73953,0.77282,0.53459,1.05308,1.06087,1.19549,0.000297614,0.000297614,0.000297614
12,36.2054,0.96848,0.78463,1.1312,0.73342,0.79355,0.7889,0.55385,1.00221,0.98469,1.17068,0.000325687,0.000325687,0.000325687
13,38.7763,0.93668,0.72301,1.10834,0.76742,0.79174,0.80053,0.56412,0.99757,0.95034,1.15563,0.000353713,0.000353713,0.000353713
14,41.3641,0.95713,0.73102,1.11565,0.75519,0.78236,0.78811,0.53919,1.06876,0.96783,1.20598,0.000381692,0.000381692,0.000381692
15,43.9268,0.9225,0.71199,1.0996,0.78308,0.78243,0.81578,0.56948,1.03387,0.86659,1.18653,0.000409624,0.000409624,0.000409624
16,46.4766,0.94629,0.68894,1.11219,0.80466,0.80961,0.84939,0.59688,1.00705,0.79119,1.15262,0.000437508,0.000437508,0.000437508
17,49.0479,0.92921,0.68911,1.09912,0.81939,0.82709,0.86831,0.60404,1.03835,0.76968,1.18562,0.000465345,0.000465345,0.000465345
18,51.617,0.90509,0.66961,1.08944,0.85702,0.81945,0.88011,0.62381,1.01221,0.70269,1.16664,0.000493135,0.000493135,0.000493135
19,54.1975,0.92801,0.68612,1.09913,0.83579,0.8439,0.87586,0.62596,1.00615,0.68549,1.17903,0.000520878,0.000520878,0.000520878
20,56.76,0.92317,0.68479,1.09996,0.82452,0.78405,0.82907,0.58382,1.03253,0.80385,1.18275,0.000548574,0.000548574,0.000548574
21,59.3271,0.93808,0.68417,1.10766,0.85041,0.83029,0.85624,0.6134,0.98466,0.7037,1.14232,0.000576223,0.000576223,0.000576223
22,61.8834,0.92241,0.68877,1.09204,0.88113,0.80906,0.87659,0.61604,1.01649,0.70943,1.17557,0.000603824,0.000603824,0.000603824
23,64.4388,0.919,0.68261,1.09519,0.85938,0.79369,0.87093,0.60093,1.05956,0.77168,1.19946,0.000631379,0.000631379,0.000631379
